"Sub1","Sub2","Sub3","Sub4","Sub5","Sub6","Sub7","Sub8","Sub9","Sub10","mean","var","stddev"
75,76,58,63,98,68,68,99,80,59,74.4,191.44,13.84
87,60,68,80,83,92,93,98,94,64,81.9,165.49,12.86
92,63,81,63,60,68,66,91,84,63,73.1,141.29,11.89
85,80,73,58,86,93,57,97,61,93,78.3,208.21,14.43
88,65,60,90,88,99,97,71,73,74,80.5,166.65,12.91
69,57,91,84,98,72,63,56,84,70,74.4,184.24,13.57
78,82,67,90,70,75,80,94,84,67,78.7,76.61,8.75
69,81,91,79,83,93,74,73,92,71,80.6,72.84,8.53
87,77,70,84,61,82,90,86,72,62,77.1,97.89,9.89
70,59,88,70,81,71,80,98,94,83,79.4,131.24,11.46
85,91,97,65,69,81,58,70,94,56,76.6,202.24,14.22
82,74,69,60,88,84,59,90,96,58,76,176.2,13.27
78,65,58,74,73,87,61,77,57,91,72.1,124.29,11.15
96,93,98,62,77,72,78,74,71,98,81.9,155.49,12.47
91,58,89,65,70,95,79,63,66,89,76.5,168.05,12.96
72,79,94,74,71,84,79,80,73,69,77.5,50.25,7.09
94,86,83,70,96,59,58,67,64,97,77.4,216.84,14.73
96,64,99,84,84,80,59,86,79,62,79.3,170.21,13.05
60,90,63,70,60,75,85,75,65,78,72.1,96.89,9.84
56,79,88,68,62,83,96,71,75,55,73.3,165.61,12.87
94,55,94,87,67,74,84,68,88,56,76.7,196.21,14.01
96,63,97,60,77,58,70,66,56,71,71.4,194.04,13.93
71,82,92,74,92,99,85,73,83,97,84.8,91.16,9.55
83,82,90,67,59,68,58,62,68,83,72,118.8,10.9
82,80,98,80,78,56,82,97,94,93,84,140.6,11.86
