"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","mean","var"
3.80719070437654e-09,3.80726663976152e-13,7.37479416438865e-23,5.09180311366484e-10,8.01180522530167e-26,2.193943151119e-20,1.48414214414705e-15,0.000118610517185343,1.12760247890186e-20,0.179306382023861,6.61567034580512e-10,5.8668864486117e-16,7.07054672249714e-07,0.0112235062366533,4.77143300751646e-07,0.000216833078274525,0.00470770846074299,0.0993526615709764,1.36248958280078e-05,0.0155231850505166,0.00197850024579917
2.65526223112458e-08,1.45361679582925e-13,3.01418097007381e-23,4.06835642447675e-09,3.44040300038386e-26,7.27948626308339e-19,2.62111642919524e-14,0.000375435662969867,3.88039167202551e-19,0.129376573203755,2.60335183961903e-10,2.24098353972502e-16,3.38953748496478e-06,0.00635812966534843,2.35602322619233e-06,0.000104332950454026,0.0104392306847712,0.14826541555067,6.10569892155513e-06,0.0155226842031098,0.00180486134797854
2.05936458402749e-16,3.12640419386623e-23,2.30495630009425e-41,4.50713199189941e-18,6.65235938034979e-47,1.00946058990391e-37,1.42353615537759e-28,7.41584940498823e-08,2.86300927185398e-38,0.134213813930913,3.40277210660978e-17,1.77567647577402e-28,4.25308674396499e-12,0.000863929333431982,2.01170700432429e-12,5.96306303099425e-07,8.5285953578659e-05,0.0308175066169077,3.54411930340575e-09,0.00873585315000068,0.000921780670368624
3.00778062011776e-08,9.60006107031265e-14,1.62455070583422e-23,4.61722088162314e-09,1.75053762581727e-26,8.20460223576838e-19,2.97893265457584e-14,0.000415254448614296,4.37049981423533e-19,0.121964947132014,1.85511627279602e-10,1.391257460922e-16,3.80773812200809e-06,0.0056218108312898,2.64892232148727e-06,8.66089537825621e-05,0.0113165021164054,0.155601883338963,4.88186856458502e-06,0.015527283170039,0.00182454781353836
4.39090809306543e-08,9.54407494105083e-13,7.22256863285135e-22,7.2809081267262e-09,1.21373047579754e-24,3.51326471347988e-18,7.89251282151406e-14,0.000424472152050383,1.92709981447084e-18,0.145708376132293,1.09304898458662e-09,2.15240211653725e-15,4.59415430230965e-06,0.00903589244585928,3.24025143303276e-06,0.000195987944177441,0.0105341544653563,0.140196949212533,1.37744184135112e-05,0.0161114470242364,0.00190247127559726
5.59907059761543e-11,8.65431164495446e-27,4.52007053054783e-45,2.95190369136211e-12,1.43525703927104e-50,5.94412923814846e-28,1.51697783971421e-20,0.000115999151460995,2.12457573429861e-28,0.0086509520973911,1.53156830898049e-20,3.88616322380785e-32,1.01171244756681e-07,9.22493878283724e-06,5.80333992891829e-08,1.75326289310222e-09,0.012601564477231,0.317109663521234,5.71630112505999e-12,0.0178151350109824,0.00498747310343161
8.04473115771922e-23,3.44957715922848e-36,3.83180932403153e-64,2.97144922632014e-25,1.17716577686322e-72,3.12253327673498e-54,1.0443789542051e-40,2.28242426499849e-10,4.83436420148431e-55,0.0387185153892795,7.87239761657878e-27,2.70290423718286e-44,1.61562962798709e-16,9.24447254100695e-06,5.42880127018485e-17,8.35541420581708e-11,5.51455400027701e-06,0.020346678586942,2.58694409486327e-14,0.00310947122708344,9.10212349690336e-05
3.99485750294746e-16,8.88331224843626e-28,1.57115325011239e-48,7.45078422080809e-18,7.82812646953784e-55,1.43243916013946e-38,6.98722669824246e-29,2.50581030218398e-07,3.75792349192705e-39,0.0446400854783919,8.45460767270858e-21,8.31083407995672e-34,1.17185551782311e-11,6.50523310489703e-05,5.41987695234482e-12,9.23632444408051e-09,0.000281600912727028,0.0740691787028026,2.05825385531475e-11,0.00626611459368666,0.000354370755065552
5.05183845887421e-23,6.55073280663186e-54,3.67385917716534e-92,8.55854637719846e-26,1.09630634242454e-103,1.20674557827239e-59,1.0595833933323e-43,3.06341788138688e-09,1.32125247041648e-60,0.000311409339298677,7.06379160401437e-41,4.38346592401246e-65,6.11415988607581e-16,2.89802206923013e-10,1.82005651723756e-16,6.42078005395859e-18,0.000100872391498468,0.167431175189354,4.61488710521992e-23,0.00883386633017747,0.00139739994125551
2.48555642301364e-14,2.5102134887607e-22,2.99700479778493e-39,8.28938727102574e-16,2.10088015389436e-44,2.14247071131623e-33,3.45141420037477e-25,9.103382940534e-07,6.90744515700916e-34,0.0975629334479602,1.15696175019146e-16,3.11295425511762e-27,1.67065981952803e-10,0.000638031086992001,8.6142990338678e-11,5.71667188994156e-07,0.000420761103907172,0.0625444382767471,4.31898019992074e-09,0.00848250792070024,0.000634937420799206
